timestamp,status,discription,type,address,x,y,int
,現場対応中,不審者目撃情報,不審者情報,東京都千代田区内神田２-１０-４,139.7676989,35.6908387,29
,対応済み,乗用車と自転車の衝突,交通事故,東京都千代田区神田神保町２-１６-２,139.7573134,35.6971646,25
,その他,騒音による通報,騒音被害,東京都新宿区市谷本村町５-１,139.7304913,35.69280797,56
,未対応,歩行者と自動車の衝突,交通事故,東京都新宿区新宿３-２３-１０,139.7008797,35.69336563,34
,現場対応中,不審者目撃情報,不審者情報,東京都千代田区有楽町１-１-３,139.7589871,35.67300845,57
,対応済み,自動車が歩行者用レーンに衝突,交通事故,東京都新宿区舟町７-２０２,139.7203633,35.68925279,76
,現場急行,騒音による通報,騒音被害,東京都千代田区富士見２-１４-１５,139.7434517,35.69715589,43
,未対応,不審者目撃情報,不審者情報,東京都新宿区新宿５-２-６,139.7115549,35.69187562,73
,現場対応中,不審者目撃情報,不審者情報,東京都千代田区九段北４-２-１５,139.736832,35.69138766,34
,対応済み,騒音による通報,騒音被害,東京都文京区後楽１-４-２５,139.7481831,35.70362069,26
,現場急行,不審者目撃情報,不審者情報,東京都港区高輪２-２０-２９,139.7408875,35.63776326,58
,未対応,自動車と自転車の衝突,交通事故,東京都港区高輪４-１１-９,139.7365102,35.62715964,49
,現場対応中,歩行者間トラブル,その他,東京都港区芝２-２０-１２,139.7498568,35.65146915,37
